"INCIDENT_NUMBER","DATE_REPORTED","DATE_OCCURED","UOR_DESC","CRIME_TYPE","NIBRS_CODE","UCR_HIERARCHY","ATT_COMP","LMPD_DIVISION","LMPD_BEAT","PREMISE_TYPE","BLOCK_ADDRESS","CITY","ZIP_CODE","ID"
"80-17-008085","2017-01-27 19:37:00","2017-01-27 19:37:00","POSS CONT SUB-1ST DEGREE-1ST OFFENSE-DRUG UNSPECIFIED","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","4TH DIVISION","423","HIGHWAY / ROAD / ALLEY","3400 BLOCK TAYLOR BLVD                                      ","LOUISVILLE","40215","1189532"
"80-17-005441","2017-01-18 18:50:00","2017-01-18 18:50:00","POSS OF MARIJUANA","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","S 6TH ST / W OAK ST                                         ","LOUISVILLE","40203","1189533"
"80-17-008898","2017-01-31 07:47:00","2017-01-30 22:30:00","CRIMINAL MISCHIEF-2ND DEGREE","VANDALISM","290","PART II","COMPLETED","6TH DIVISION","624","PARKING LOT / GARAGE","4300 BLOCK KRANET WAY                                       ","LOUISVILLE","40218","1189534"
"80-17-007599","2017-01-26 08:51:00","2017-01-26 08:51:00","HARASSING COMMUNICATIONS","OTHER","90Z","PART II","COMPLETED","8TH DIVISION","824","HOTEL / MOTEL / ETC.","11700 BLOCK GATEWORTH WAY                                   ","LOUISVILLE","40299","1189535"
"80-17-008545","2017-01-29 21:01:00","2017-01-29 21:01:00","POSS FOR SALE/TRANSFER SIMULATED CONT SUB-1ST OFFENSE","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","1ST DIVISION","111","HIGHWAY / ROAD / ALLEY","N 21ST ST / DR W J HODGE ST                                 ","LOUISVILLE","40203","1189536"
"80-17-005835","2017-01-20 02:47:00","2017-01-20 02:47:00","PRELIMINARY REPORT NUMBER","OTHER","999","","COMPLETED","7TH DIVISION","723","OTHER / UNKNOWN","5600 BLOCK GREENBLUFF RD                                    ","LOUISVILLE","40219","1189537"
"80-17-007385","2017-01-25 14:37:00","2017-01-25 14:37:00","PRELIMINARY REPORT NUMBER","OTHER","999","","COMPLETED","4TH DIVISION","423","OTHER / UNKNOWN","600 BLOCK INDUSTRY RD                                       ","LOUISVILLE","40208","1189538"
"80-17-007396","2017-01-25 15:03:00","2017-01-25 15:03:00","NARC INVESTIGATION PENDING","OTHER","999","","COMPLETED","1ST DIVISION","112","OTHER / UNKNOWN","3100 BLOCK VERMONT AVE                                      ","LOUISVILLE","40211","1189539"
"80-17-007435","2017-01-25 17:08:00","2017-01-25 17:08:00","NARC INVESTIGATION PENDING","OTHER","999","","COMPLETED","7TH DIVISION","712","OTHER / UNKNOWN","10300 BLOCK WINGFIELD RD                                    ","LOUISVILLE","40291","1189540"
"80-17-008696","2017-01-30 12:54:00","2017-01-30 12:54:00","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY","ASSAULT","13B","PART II","COMPLETED","2ND DIVISION","223","RESIDENCE / HOME","3100 BLOCK W KENTUCKY ST                                    ","LOUISVILLE","40211","1189541"
"80-17-008696","2017-01-30 12:54:00","2017-01-30 12:54:00","VIOLATION OF KENTUCKY EPO/DVO","ASSAULT","90F","PART II","","2ND DIVISION","223","","3100 BLOCK W KENTUCKY ST                                    ","LOUISVILLE","40211","1189542"
"80-17-006584","2017-01-22 20:13:00","2017-01-20 00:00:00","TBUT OR DISP ALL OTHERS <  $500","THEFT/LARCENY","23H","PART I","COMPLETED","2ND DIVISION","236","OTHER RESIDENCE (APARTMENT/CONDO)","4500 BLOCK CANE RUN RD                                      ","LOUISVILLE","40216","1189543"
"80-17-007553","2017-01-26 02:32:00","2017-01-26 02:32:00","PRELIMINARY REPORT NUMBER","OTHER","999","","COMPLETED","2ND DIVISION","223","OTHER / UNKNOWN","1800 BLOCK W ORMSBY AVE                                     ","LOUISVILLE","40210","1189544"
"80-17-007841","2017-01-26 23:39:00","2017-01-26 23:39:00","CRIMINAL MISCHIEF-2ND DEGREE","VANDALISM","290","PART II","COMPLETED","5TH DIVISION","513","GOVERNMENT / PUBLIC BUILDING","2200 BLOCK TAYLORSVILLE RD                                  ","LOUISVILLE","40205","1189545"
"80-17-008788","2017-01-30 18:19:00","2017-01-30 18:00:00","TBUT OR DISP ALL OTHERS <  $500","THEFT/LARCENY","23H","PART I","COMPLETED","5TH DIVISION","525","OTHER RESIDENCE (APARTMENT/CONDO)","100 BLOCK FENLEY AVE                                        ","LOUISVILLE","40207","1189546"
"80-17-007588","2017-01-26 08:36:00","2017-01-26 08:36:00","PRELIMINARY REPORT NUMBER","OTHER","999","","COMPLETED","2ND DIVISION","211","OTHER / UNKNOWN","3900 BLOCK JEWELL AVE                                       ","LOUISVILLE","40212","1189547"
"80-17-007699","2017-01-26 14:54:00","2017-01-26 14:54:00","POSSESSION  OF SYNTHETIC DRUGS","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","4TH DIVISION","411","GOVERNMENT / PUBLIC BUILDING","300 BLOCK YORK ST                                           ","LOUISVILLE","40203","1189548"
"80-17-007608","2017-01-26 10:20:00","2017-01-26 10:20:00","PRELIMINARY REPORT NUMBER","OTHER","999","","COMPLETED","4TH DIVISION","423","OTHER / UNKNOWN","600 BLOCK INDUSTRY RD                                       ","LOUISVILLE","40208","1189549"
"80-17-008904","2017-01-31 19:02:32","2017-01-30 21:15:00","TBUT OR DISP CONTENTS FROM VEH < $500","VEHICLE BREAK-IN/THEFT","23F","PART I","COMPLETED","7TH DIVISION","712","PARKING LOT / GARAGE","10500 BLOCK FAIRMOUNT FALLS WAY                             ","LOUISVILLE","40291","1189550"
"80-17-008823","2017-01-30 20:55:00","2017-01-30 20:55:00","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY","ASSAULT","13B","PART II","COMPLETED","3RD DIVISION","331","PARKING LOT / GARAGE","2500 BLOCK PENNACOOK RD                                     ","LOUISVILLE","40214","1189551"
"80-17-008823","2017-01-30 20:55:00","2017-01-30 20:55:00","CRIMINAL MISCHIEF-2ND DEGREE","VANDALISM","290","PART II","COMPLETED","3RD DIVISION","331","PARKING LOT / GARAGE","2500 BLOCK PENNACOOK RD                                     ","LOUISVILLE","40214","1189552"
"80-17-008878","2017-01-31 04:54:00","2017-01-31 04:54:00","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY","ASSAULT","13B","PART II","COMPLETED","3RD DIVISION","322","RESIDENCE / HOME","700 BLOCK INVERNESS AVE                                     ","LOUISVILLE","40214","1189553"
"80-17-008061","2017-01-27 16:10:00","2017-01-27 16:00:00","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","412","RESIDENCE / HOME","900 BLOCK S JACKSON ST                                      ","LOUISVILLE","40203","1189554"
"80-17-008143","2017-01-27 23:31:00","2017-01-27 23:31:00","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY","ASSAULT","13B","PART II","COMPLETED","2ND DIVISION","211","RESIDENCE / HOME","100 BLOCK N LONGWORTH AVE                                   ","LOUISVILLE","40212","1189555"
"80-17-008242","2017-01-28 12:59:00","2017-01-28 12:59:00","PRELIMINARY REPORT NUMBER","OTHER","999","","COMPLETED","2ND DIVISION","225","HIGHWAY / ROAD / ALLEY","S 13TH ST / ALGONQUIN PKY                                   ","LOUISVILLE","40210","1189556"
"80-17-007193","2017-01-24 17:49:00","2017-01-24 17:49:00","PRELIMINARY REPORT NUMBER","OTHER","999","","COMPLETED","1ST DIVISION","111","RESIDENCE / HOME","2000 BLOCK LYTLE ST                                         ","LOUISVILLE","40203","1189557"
"80-17-008625","2017-01-30 09:51:00","2017-01-30 09:51:00","PRELIMINARY REPORT NUMBER","OTHER","999","","COMPLETED","4TH DIVISION","412","OTHER / UNKNOWN","2100 BLOCK S FLOYD ST                                       ","LOUISVILLE","40208","1189558"
"80-17-008672","2017-01-30 12:24:00","2017-01-30 12:24:00","PRELIMINARY REPORT NUMBER","OTHER","999","","COMPLETED","1ST DIVISION","123","OTHER / UNKNOWN","400 BLOCK S 6TH ST                                          ","LOUISVILLE","40202","1189559"
"80-17-008648","2017-01-30 10:37:00","2017-01-30 10:37:00","PRELIMINARY REPORT NUMBER","OTHER","999","","COMPLETED","4TH DIVISION","423","OTHER / UNKNOWN","600 BLOCK INDUSTRY RD                                       ","LOUISVILLE","40208","1189560"
"80-17-001552","2017-01-06 06:28:01","2017-01-02 22:00:00","TERRORISTIC THREATENING 3RD DEGREE","ASSAULT","13C","PART II","COMPLETED","3RD DIVISION","316","RESIDENCE / HOME","6100 BLOCK DALIA CT                                         ","LOUISVILLE","40272","1189561"
"80-17-001552","2017-01-06 06:28:01","2017-01-02 22:00:00","MENACING","ASSAULT","13C","PART II","COMPLETED","3RD DIVISION","316","RESIDENCE / HOME","6100 BLOCK DALIA CT                                         ","LOUISVILLE","40272","1189562"
"80-17-007786","2017-01-26 18:55:00","2017-01-26 18:45:00","ASSAULT - 4TH DEGREE (MINOR INJURY)","ASSAULT","13B","PART II","COMPLETED","3RD DIVISION","331","OTHER RESIDENCE (APARTMENT/CONDO)","2500 BLOCK PENNACOOK RD                                     ","LOUISVILLE","40214","1189563"
"80-17-008839","2017-01-30 21:39:00","2017-01-30 21:39:00","BURGLARY - 2ND DEGREE","BURGLARY","220","PART I","COMPLETED","3RD DIVISION","331","OTHER RESIDENCE (APARTMENT/CONDO)","6500 BLOCK HACKEL DR                                        ","LOUISVILLE","40258","1189565"
"80-17-007248","2017-01-24 21:40:00","2017-01-24 21:40:00","WANTON ENDANGERMENT-1ST DEGREE","ASSAULT","13A","PART I","COMPLETED","8TH DIVISION","823","OTHER RESIDENCE (APARTMENT/CONDO)","3300 BLOCK PROTEGE PL                                       ","LOUISVILLE","40245","1189566"
"80-17-007237","2017-01-24 21:54:00","2017-01-24 21:54:00","DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT","OTHER","90Z","PART II","COMPLETED","3RD DIVISION","331","RESIDENCE / HOME","2800 BLOCK CLARK RUN RD                                     ","LOUISVILLE","40216","1189567"
"80-17-008690","2017-01-30 13:22:00","2017-01-30 13:22:00","WANTON ENDANGERMENT-1ST DEGREE","ASSAULT","13A","PART I","COMPLETED","1ST DIVISION","112","HIGHWAY / ROAD / ALLEY","S 19TH ST / W MUHAMMAD ALI BLVD                             ","LOUISVILLE","40203","1189568"
"80-17-008219","2017-01-28 11:58:00","2017-01-28 11:58:00","DRUG PARAPHERNALIA - BUY/POSSESS","DRUGS/ALCOHOL VIOLATIONS","35B","PART II","COMPLETED","6TH DIVISION","625","HIGHWAY / ROAD / ALLEY","3300 BLOCK BARDSTOWN RD                                     ","LOUISVILLE","40218","1189569"
"80-17-008219","2017-01-28 11:58:00","2017-01-28 11:58:00","CARRYING A CONCEALED DEADLY WEAPON","WEAPONS","520","PART II","COMPLETED","6TH DIVISION","625","HIGHWAY / ROAD / ALLEY","3300 BLOCK BARDSTOWN RD                                     ","LOUISVILLE","40218","1189570"
"80-17-007775","2017-01-26 18:25:00","2017-01-26 18:25:00","LOITERING FOR PROSTITUTION PURPOSES - 1ST OFFENSE","DISTURBING THE PEACE","40A","PART II","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","S FLOYD ST / E OAK ST                                       ","LOUISVILLE","40203","1189571"
"80-17-008653","2017-01-30 08:57:00","2017-01-28 14:00:00","REPORT NUMBER NOT REQUIRED","OTHER","999","","COMPLETED","8TH DIVISION","824","CONSTRUCTION SITE","12200 BLOCK AIKEN RD                                        ","MIDDLETOWN","40223","1189572"
"80-17-007520","2017-01-25 22:04:00","2017-01-25 22:04:00","DRUG PARAPHERNALIA - BUY/POSSESS","DRUGS/ALCOHOL VIOLATIONS","35B","PART II","COMPLETED","1ST DIVISION","123","HIGHWAY / ROAD / ALLEY","W CHESTNUT ST / ROY WILKINS AVE                             ","LOUISVILLE","40203","1189573"
"80-17-008697","2017-01-30 13:30:00","2017-01-30 13:27:00","ASSAULT - 4TH DEGREE (NO VISIBLE INJURY)","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","423","RESIDENCE / HOME","1500 BLOCK LONGFIELD AVE                                    ","LOUISVILLE","40215","1189574"
"80-17-008346","2017-01-28 19:53:00","2017-01-28 19:51:00","DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT","OTHER","90Z","PART II","COMPLETED","8TH DIVISION","824","OTHER / UNKNOWN","12400 BLOCK SYCAMORE STATION PL                             ","LOUISVILLE","40299","1189575"
"80-17-008709","2017-01-30 14:05:00","2017-01-27 17:00:00","TBUT OR DISP PARTS FROM VEHICLE $500 OR > BUT < $10,000","VEHICLE BREAK-IN/THEFT","23G","PART I","COMPLETED","7TH DIVISION","723","PARKING LOT / GARAGE","5600 BLOCK FERN VALLEY RD                                   ","LOUISVILLE","40228","1189576"
"80-17-003954","2017-01-13 19:51:00","2017-01-13 19:20:00","ROBBERY - 1ST DEGREE","ROBBERY","120","PART I","COMPLETED","4TH DIVISION","424","RESIDENCE / HOME","600 BLOCK CREEL AVE                                         ","LOUISVILLE","40208","1189577"
"80-17-008288","2017-01-28 16:01:00","2017-01-28 15:39:00","WANTON ENDANGERMENT-1ST DEGREE","ASSAULT","13A","PART I","COMPLETED","3RD DIVISION","331","OTHER RESIDENCE (APARTMENT/CONDO)","4200 BLOCK FLINTLOCK DR                                     ","LOUISVILLE","40216","1189578"
"80-17-007279","2017-01-25 03:35:00","2017-01-25 03:35:00","POSS CONT SUB-1ST DEGREE-1ST OFFENSE-HEROIN","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","6TH DIVISION","612","OTHER RESIDENCE (APARTMENT/CONDO)","1300 BLOCK CLEO AVE                                         ","LOUISVILLE","40213","1189579"
"80-17-008190","2017-01-28 09:18:00","2017-01-21 10:03:00","WANTON ENDANGERMENT-1ST DEGREE","ASSAULT","13A","PART I","COMPLETED","2ND DIVISION","223","OTHER RESIDENCE (APARTMENT/CONDO)","1500 BLOCK GARLAND AVE                                      ","LOUISVILLE","40210","1189580"
"80-17-006532","2017-01-22 14:57:00","2017-01-21 21:10:00","WANTON ENDANGERMENT-1ST DEGREE","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","412","HIGHWAY / ROAD / ALLEY","EASTERN PKY / S PRESTON ST                                  ","LOUISVILLE","40217","1189581"
"80-17-008231","2017-01-28 12:34:00","2017-01-28 12:14:00","DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT","OTHER","90Z","PART II","COMPLETED","3RD DIVISION","323","RESIDENCE / HOME","9300 BLOCK LONGHORN CT                                      ","LOUISVILLE","40118","1189582"
"80-17-007200","2017-01-24 20:00:00","2017-01-24 20:00:00","DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT","OTHER","90Z","PART II","COMPLETED","3RD DIVISION","315","GROCERY / SUPERMARKET","7500 BLOCK TERRY RD                                         ","LOUISVILLE","40258","1189583"
"80-17-004654","2017-01-16 13:07:00","2017-01-16 13:07:00","REPORT NUMBER NOT REQUIRED","OTHER","999","","COMPLETED","1ST DIVISION","111","RESIDENCE / HOME","2200 BLOCK ST XAVIER ST                                     ","LOUISVILLE","40212","1189584"
"80-17-008727","2017-01-31 07:36:48","2017-01-26 00:00:00","THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT","FRAUD","26C","PART II","COMPLETED","8TH DIVISION","812","OTHER / UNKNOWN","4000 BLOCK DEER CREEK DR                                    ","LOUISVILLE","40241","1189585"
"80-17-008738","2017-01-30 16:03:00","2017-01-27 15:00:00","TBUT OR DISP CONTENTS FROM VEH $500 OR > BUT < $10,000","VEHICLE BREAK-IN/THEFT","23F","PART I","COMPLETED","8TH DIVISION","815","SERVICE / GAS STATION","700 BLOCK LYNDON LN                                         ","LOUISVILLE","40222","1189586"
"80-17-008749","2017-01-31 09:20:45","2016-07-19 00:00:00","THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT","FRAUD","26C","PART II","COMPLETED","8TH DIVISION","824","CYBERSPACE","10700 BLOCK HOBBS STATION RD                                ","LOUISVILLE","40223","1189587"
"80-17-008760","2017-01-30 17:11:00","2017-01-30 16:00:00","TBUT OR DISP SHOPLIFTING < $500","THEFT/LARCENY","23C","PART I","COMPLETED","7TH DIVISION","736","DEPARTMENT / DISCOUNT STORE","9500 BLOCK PRESTON HWY                                      ","LOUISVILLE","40229","1189588"
"80-17-008762","2017-01-30 17:12:00","2017-01-30 15:24:00","TBUT OR DISP SHOPLIFTING < $500","THEFT/LARCENY","23C","PART I","COMPLETED","7TH DIVISION","711","GROCERY / SUPERMARKET","6900 BLOCK BARDSTOWN RD                                     ","LOUISVILLE","40291","1189589"
"80-17-005281","2017-01-18 11:18:00","2017-01-18 11:18:00","TBUT OR DISP SHOPLIFTING < $500","THEFT/LARCENY","23C","PART I","COMPLETED","7TH DIVISION","724","DEPARTMENT / DISCOUNT STORE","11200 BLOCK PRESTON HWY                                     ","LOUISVILLE","40229","1181885"
"80-17-004726","2017-01-16 18:44:00","2017-01-16 18:18:00","THEFT BY DECEPTION-INCL COLD CHECKS U/$10,000","THEFT/LARCENY","23H","PART I","COMPLETED","4TH DIVISION","424","GROCERY / SUPERMARKET","3100 BLOCK S 2ND ST                                         ","LOUISVILLE","40208","1181886"
"80-17-002372","2017-01-08 22:32:00","2017-01-08 22:32:00","POSS OF MARIJUANA","DRUGS/ALCOHOL VIOLATIONS","35A","PART II","COMPLETED","1ST DIVISION","123","HIGHWAY / ROAD / ALLEY","200 BLOCK N 22                                              ","LOUISVILLE","40202","1181928"
"80-17-005282","2017-01-18 23:44:06","2017-01-07 00:01:00","CRIMINAL POSSESSION FORGED INSTRUMENT-2ND DEGREE-IDENTIFY","FRAUD","250","PART II","COMPLETED","1ST DIVISION","123","OTHER RESIDENCE (APARTMENT/CONDO)","800 BLOCK W MUHAMMAD ALI BLVD                               ","LOUISVILLE","40203","1181929"
"80-17-004726","2017-01-16 18:44:00","2017-01-16 18:18:00","CRIMINAL POSSESSION FORGED INSTRUMENT-2ND DEGREE-IDENTIFY","FRAUD","250","PART II","COMPLETED","4TH DIVISION","424","GROCERY / SUPERMARKET","3100 BLOCK S 2ND ST                                         ","LOUISVILLE","40208","1181930"
"80-17-005259","2017-01-18 10:29:00","2017-01-18 10:10:00","TERRORISTIC THREATENING 3RD DEGREE","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","123","AIR / BUS / TRAIN TERMINAL","700 BLOCK W MUHAMMAD ALI BLVD                               ","LOUISVILLE","40203","1181931"
