EstablishmentID,InspectionID,Zip,TypeDescription,Latitude,Longitude,Inspection,Score
30043,1188650,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2621000,-85.8123000,2016-04-26,93
30043,1188651,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2621000,-85.8123000,2016-04-26,93
30043,1246369,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2621000,-85.8123000,2016-11-28,92
30043,1246370,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2621000,-85.8123000,2016-11-28,94
30051,1264733,40203,PRE-PACKAGED RETAIL,38.2352000,-85.7609000,2017-02-08,92
30075,1235234,40212,PRE-PACKAGED RETAIL,38.2738780,-85.7994620,2016-10-14,100
30085,1211628,40213,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.1974000,-85.7077000,2016-07-19,99
30085,1211629,40213,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.1974000,-85.7077000,2016-07-19,99
30085,1255455,40213,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.1974000,-85.7077000,2017-01-04,97
30085,1255456,40213,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.1974000,-85.7077000,2017-01-04,97
30090,1178703,40219,PRE-PACKAGED RETAIL,38.1709000,-85.6850000,2016-03-10,90
30102,1183188,40215,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.1877000,-85.7831000,2016-04-04,94
30102,1183189,40215,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.1877000,-85.7831000,2016-04-04,99
30108,1207629,40205,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2226000,-85.6691000,2016-07-05,92
30108,1207630,40205,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2226000,-85.6691000,2016-07-05,94
30108,1252491,40205,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2226000,-85.6691000,2016-12-16,94
30108,1252492,40205,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2226000,-85.6691000,2016-12-16,94
30154,1254935,40222,SUPERMARKET WITH PROCESSING,38.2693000,-85.5784000,2016-12-28,96
30162,1187803,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2660000,-85.7933000,2016-04-21,97
30162,1187804,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2660000,-85.7933000,2016-04-21,97
30162,1243338,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2660000,-85.7933000,2016-11-14,94
30162,1243339,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2660000,-85.7933000,2016-11-14,94
30165,1260032,40203,PRE-PACKAGED RETAIL,38.2561000,-85.7801000,2017-01-23,89
30227,1237871,40203,PRE-PACKAGED RETAIL,38.2367000,-85.7507000,2016-10-25,96
30242,1182413,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2636000,-85.7967000,2016-03-30,98
30242,1182414,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2636000,-85.7967000,2016-03-30,94
30242,1230343,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2636000,-85.7967000,2016-09-27,98
30242,1230344,40212,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.2636000,-85.7967000,2016-09-27,98
30245,1253373,40272,PRE-PACKAGED RETAIL,38.0504000,-85.8962000,2016-12-21,100
30248,1178476,40218,SCHOOL CAFETERIA OR FOOD SERVICE,38.2025714,-85.6431747,2016-03-10,98
30248,1230678,40218,SCHOOL CAFETERIA OR FOOD SERVICE,38.2025714,-85.6431747,2016-09-28,99
30248,1264645,40218,SCHOOL CAFETERIA OR FOOD SERVICE,38.2025714,-85.6431747,2017-02-07,99
30258,1248538,40213,SUPERMARKET WITH PROCESSING,38.1575000,-85.7090000,2016-12-05,92
30264,1179875,40216,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.1815000,-85.8153000,2016-03-17,98
30264,1179876,40216,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.1815000,-85.8153000,2016-03-17,98
30264,1227578,40216,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.1815000,-85.8153000,2016-09-16,94
30264,1227579,40216,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.1815000,-85.8153000,2016-09-16,94
30264,1258200,40216,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.1815000,-85.8153000,2017-01-13,97
30264,1258201,40216,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.1815000,-85.8153000,2017-01-13,97
30295,1213136,40211,SUPERMARKET WITH PROCESSING,38.2248000,-85.7910000,2016-07-25,90
30295,1214013,40211,SUPERMARKET WITH PROCESSING,38.2248000,-85.7910000,2016-07-27,99
30295,1248925,40211,SUPERMARKET WITH PROCESSING,38.2248000,-85.7910000,2016-12-06,92
30295,1250589,40211,SUPERMARKET WITH PROCESSING,38.2248000,-85.7910000,2016-12-08,90
30319,1255196,40023,SUPERMARKET WITH PROCESSING,38.2356000,-85.4281000,2017-01-03,100
30337,1204195,40215,SUPERMARKET WITH PROCESSING,38.2064000,-85.7767000,2016-06-08,94
30374,1223981,40219,PRE-PACKAGED RETAIL,38.1646000,-85.5977000,2016-09-01,98
30394,1227253,40219,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.1549000,-85.6998000,2016-09-15,98
30394,1227254,40219,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.1549000,-85.6998000,2016-09-15,92
30399,1210983,40291,PRE-PACKAGED RETAIL,38.1664000,-85.6047000,2016-07-18,99
30407,1201019,40214,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.1555000,-85.8014000,2016-06-09,96
30407,1201020,40214,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.1555000,-85.8014000,2016-06-09,96
30407,1251330,40214,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.1555000,-85.8014000,2016-12-13,96
30407,1251331,40214,"RETAIL-FOOD  10,000 SQ FT OR LESS",38.1555000,-85.8014000,2016-12-13,96
30411,1227954,40217,PRE-PACKAGED RETAIL,38.2147000,-85.7417000,2016-09-12,100
30425,1182142,40205,SUPERMARKET WITH PROCESSING,38.2532000,-85.6459000,2016-03-29,100
30425,1265344,40205,SUPERMARKET WITH PROCESSING,38.2532000,-85.6459000,2017-02-10,100
30826,1195535,40211,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2347000,-85.8015000,2016-05-20,100
30826,1242715,40211,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2347000,-85.8015000,2016-11-09,100
30917,1208763,40223,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2346000,-85.5678000,2016-07-08,100
30917,1257004,40223,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2346000,-85.5678000,2017-01-10,100
30968,1211101,40213,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2077000,-85.7147000,2016-07-18,96
30968,1253429,40213,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2077000,-85.7147000,2016-12-21,98
30972,1176922,40206,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2688000,-85.6930000,2016-03-04,99
30972,1234761,40206,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2688000,-85.6930000,2016-10-12,99
30989,1206860,40214,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1666000,-85.7651000,2016-06-30,100
30989,1264173,40214,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1666000,-85.7651000,2017-02-06,100
30993,1205752,40243,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2447170,-85.5401210,2016-06-27,97
30993,1253114,40243,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2447170,-85.5401210,2016-12-20,98
30996,1174930,40210,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2378000,-85.7869000,2016-02-25,100
30996,1193564,40210,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2378000,-85.7869000,2016-05-12,100
30996,1251895,40210,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2378000,-85.7869000,2016-12-15,100
31039,1214729,40214,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1463000,-85.7822000,2016-07-29,99
31039,1260668,40214,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1463000,-85.7822000,2017-01-25,100
31043,1178432,40218,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2080000,-85.6382000,2016-03-10,98
31043,1241308,40218,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2080000,-85.6382000,2016-11-03,100
31053,1211476,40222,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2481000,-85.6049000,2016-07-19,99
31053,1259484,40222,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2481000,-85.6049000,2017-01-20,99
31071,1179112,40205,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2045000,-85.6929000,2016-03-15,93
31071,1180297,40205,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2045000,-85.6929000,2016-03-21,98
31071,1239318,40205,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2045000,-85.6929000,2016-10-31,97
31081,1187778,40207,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2381000,-85.6386000,2016-04-21,100
31081,1242410,40207,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2381000,-85.6386000,2016-11-08,100
31097,1184023,40222,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2808000,-85.6247000,2016-04-06,100
31097,1233260,40222,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2808000,-85.6247000,2016-10-06,100
31128,1204101,40272,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1160000,-85.8152000,2016-06-20,98
31128,1250498,40272,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1160000,-85.8152000,2016-12-12,99
31136,1205056,40299,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1938000,-85.5669000,2016-06-24,99
31145,1188539,40206,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2564000,-85.6896000,2016-04-26,98
31145,1255076,40206,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2564000,-85.6896000,2017-01-03,100
31189,1221821,40203,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2543000,-85.7659000,2016-08-23,88
31189,1223577,40203,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2543000,-85.7659000,2016-08-31,96
31189,1260744,40203,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2543000,-85.7659000,2017-01-25,97
31202,1183095,40203,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2498000,-85.7674000,2016-03-31,100
31202,1228978,40203,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2498000,-85.7674000,2016-09-21,99
31203,1221210,40219,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1221000,-85.6519000,2016-08-15,99
31203,1263487,40219,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1221000,-85.6519000,2017-02-03,97
31210,1175097,40210,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2243000,-85.7769000,2016-02-25,94
31210,1224442,40210,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2243000,-85.7769000,2016-09-06,94
31210,1260288,40210,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2243000,-85.7769000,2017-01-24,99
31211,1183190,40214,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1854000,-85.7844000,2016-04-01,97
31211,1237793,40214,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1854000,-85.7844000,2016-10-25,96
31213,1192304,40258,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1454000,-85.8676000,2016-05-11,98
31213,1244115,40258,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1454000,-85.8676000,2016-11-16,99
31220,1200102,40205,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2280000,-85.6847000,2016-06-07,95
31220,1250121,40205,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2280000,-85.6847000,2016-12-09,97
31229,1239290,40204,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2281000,-85.7162000,2016-10-31,97
31231,1180962,40241,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2912000,-85.6303000,2016-03-23,99
31231,1232488,40241,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2912000,-85.6303000,2016-10-04,98
31288,1208767,40223,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2336000,-85.5705000,2016-07-08,100
31288,1265024,40223,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2336000,-85.5705000,2017-01-10,99
31299,1196140,40214,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1532000,-85.8060000,2016-05-24,97
31299,1245700,40214,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.1532000,-85.8060000,2016-11-22,99
31301,1196448,40204,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2432000,-85.7232000,2016-05-20,100
31301,1249702,40204,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.2432000,-85.7232000,2016-12-08,97
31322,1229924,40204,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2562000,-85.7053000,2016-09-26,98
31322,1262941,40204,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2562000,-85.7053000,2017-02-02,82
31322,1265038,40204,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2562000,-85.7053000,2017-02-09,100
31323,1188253,40203,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2407000,-85.7598000,2016-04-25,96
31323,1203014,40203,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2407000,-85.7598000,2016-03-02,97
31323,1225827,40203,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2407000,-85.7598000,2016-09-12,96
31323,1266984,40203,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2407000,-85.7598000,2017-02-20,98
31329,1219778,40201,FOOD SERVICE (HOSPITAL / NURSING HOME,38.1135000,-85.8145000,2016-08-17,100
31329,1267208,40201,FOOD SERVICE (HOSPITAL / NURSING HOME,38.1135000,-85.8145000,2017-02-21,99
31330,1218307,40216,FOOD SERVICE (HOSPITAL / NURSING HOME,38.1721000,-85.8060000,2016-08-11,97
31330,1260308,40216,FOOD SERVICE (HOSPITAL / NURSING HOME,38.1721000,-85.8060000,2017-01-24,100
31331,1185626,40220,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2104000,-85.6291000,2016-04-12,97
31332,1242411,40205,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2294000,-85.7116000,2016-11-08,97
31334,1179757,40299,FOOD SERVICE,38.1968000,-85.5621000,2016-03-17,95
31334,1237107,40299,FOOD SERVICE,38.1968000,-85.5621000,2016-10-21,100
31335,1206504,40204,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2385000,-85.7307000,2016-06-29,99
31335,1244107,40204,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2385000,-85.7307000,2016-11-16,97
31336,1228584,40041,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2576000,-85.6659000,2016-09-20,95
31336,1262036,40041,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2576000,-85.6659000,2017-01-31,100
31337,1176954,40220,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2084000,-85.5867000,2016-03-04,100
31337,1237802,40220,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2084000,-85.5867000,2016-10-25,100
31340,1193807,40206,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2605000,-85.7042000,2016-05-16,100
31343,1211102,40217,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2260000,-85.7276000,2016-07-18,96
31343,1248050,40217,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2260000,-85.7276000,2016-12-02,94
31345,1187134,40206,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2513000,-85.7071000,2016-04-18,100
31345,1249211,40206,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2513000,-85.7071000,2016-12-07,100
31360,1179770,40059,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.3436000,-85.6194000,2016-03-17,98
31360,1232996,40059,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,38.3436000,-85.6194000,2016-10-05,100
31371,1225820,40241,SCHOOL CAFETERIA OR FOOD SERVICE,38.2864000,-85.5726000,2016-09-12,100
31371,1259924,40241,SCHOOL CAFETERIA OR FOOD SERVICE,38.2864000,-85.5726000,2017-01-20,97
31372,1176690,40207,SCHOOL CAFETERIA OR FOOD SERVICE,38.2533000,-85.6513000,2016-03-02,100
31372,1235284,40207,SCHOOL CAFETERIA OR FOOD SERVICE,38.2533000,-85.6513000,2016-10-14,97
31373,1234587,40214,SCHOOL CAFETERIA OR FOOD SERVICE,38.1528000,-85.8148000,2016-10-11,100
31375,1175197,40207,SCHOOL CAFETERIA OR FOOD SERVICE,38.2449000,-85.6373000,2016-02-26,96
31375,1240671,40207,SCHOOL CAFETERIA OR FOOD SERVICE,38.2449000,-85.6373000,2016-11-02,97
31377,1225825,40272,SCHOOL CAFETERIA OR FOOD SERVICE,38.0610000,-85.8973000,2016-09-12,100
31377,1258172,40272,SCHOOL CAFETERIA OR FOOD SERVICE,38.0610000,-85.8973000,2017-01-13,100
31378,1229360,40218,SCHOOL CAFETERIA OR FOOD SERVICE,38.1915000,-85.6271000,2016-09-22,100
31378,1262067,40218,SCHOOL CAFETERIA OR FOOD SERVICE,38.1915000,-85.6271000,2017-01-31,100
31379,1243334,40242,SCHOOL CAFETERIA OR FOOD SERVICE,38.2756000,-85.5998000,2016-11-14,98
31379,1264782,40242,SCHOOL CAFETERIA OR FOOD SERVICE,38.2756000,-85.5998000,2017-02-07,100
31380,1192040,40216,SCHOOL CAFETERIA OR FOOD SERVICE,38.1764099,-85.8434616,2016-05-10,100
31380,1244864,40216,SCHOOL CAFETERIA OR FOOD SERVICE,38.1764099,-85.8434616,2016-11-18,100
31381,1227287,40216,SCHOOL CAFETERIA OR FOOD SERVICE,38.1825000,-85.8618000,2016-09-15,100
31381,1261092,40216,SCHOOL CAFETERIA OR FOOD SERVICE,38.1825000,-85.8618000,2017-01-26,100
31383,1235627,40210,SCHOOL CAFETERIA OR FOOD SERVICE,38.2392000,-85.7828000,2016-10-17,100
31383,1260712,40210,SCHOOL CAFETERIA OR FOOD SERVICE,38.2392000,-85.7828000,2017-01-25,100
31384,1174926,40291,SCHOOL CAFETERIA OR FOOD SERVICE,38.1666000,-85.5745000,2016-02-25,100
31384,1233602,40291,SCHOOL CAFETERIA OR FOOD SERVICE,38.1666000,-85.5745000,2016-10-07,100
31386,1175498,40222,SCHOOL CAFETERIA OR FOOD SERVICE,38.2790000,-85.6221000,2016-02-29,98
31386,1227906,40222,SCHOOL CAFETERIA OR FOOD SERVICE,38.2790000,-85.6221000,2016-09-19,100
31386,1262097,40222,SCHOOL CAFETERIA OR FOOD SERVICE,38.2790000,-85.6221000,2017-01-31,100
31387,1229363,40272,SCHOOL CAFETERIA OR FOOD SERVICE,38.1228000,-85.8740000,2016-09-21,100
31387,1265636,40272,SCHOOL CAFETERIA OR FOOD SERVICE,38.1228000,-85.8740000,2017-02-13,100
31388,1175516,40229,SCHOOL CAFETERIA OR FOOD SERVICE,38.1024000,-85.6382000,2016-02-29,100
31388,1228881,40229,SCHOOL CAFETERIA OR FOOD SERVICE,38.1024000,-85.6382000,2016-09-21,100
31388,1262595,40229,SCHOOL CAFETERIA OR FOOD SERVICE,38.1024000,-85.6382000,2017-02-01,94
31389,1195296,40204,SCHOOL CAFETERIA OR FOOD SERVICE,38.2401000,-85.7273000,2016-05-19,96
31389,1247874,40204,SCHOOL CAFETERIA OR FOOD SERVICE,38.2401000,-85.7273000,2016-11-29,100
31390,1229929,40212,SCHOOL CAFETERIA OR FOOD SERVICE,38.2611000,-85.7872000,2016-09-26,100
31390,1265884,40212,SCHOOL CAFETERIA OR FOOD SERVICE,38.2611000,-85.7872000,2017-02-14,100
31391,1182055,40216,SCHOOL CAFETERIA OR FOOD SERVICE,38.1777000,-85.8426000,2016-03-29,99
31391,1227961,40216,SCHOOL CAFETERIA OR FOOD SERVICE,38.1777000,-85.8426000,2016-09-19,100
31392,1226329,40212,SCHOOL CAFETERIA OR FOOD SERVICE,38.2562000,-85.8105000,2016-09-13,100
31392,1265886,40212,SCHOOL CAFETERIA OR FOOD SERVICE,38.2562000,-85.8105000,2017-02-14,100
31396,1177557,40217,SCHOOL CAFETERIA OR FOOD SERVICE,38.2191000,-85.7265000,2016-03-08,96
31396,1238945,40217,SCHOOL CAFETERIA OR FOOD SERVICE,38.2191000,-85.7265000,2016-10-28,98
31396,1260715,40217,SCHOOL CAFETERIA OR FOOD SERVICE,38.2191000,-85.7265000,2017-01-25,84
31396,1262143,40217,SCHOOL CAFETERIA OR FOOD SERVICE,38.2191000,-85.7265000,2017-01-31,98
31397,1244508,40222,SCHOOL CAFETERIA OR FOOD SERVICE,38.2837000,-85.6249000,2016-11-17,98
31398,1243936,40206,SCHOOL CAFETERIA OR FOOD SERVICE,38.2495000,-85.6958000,2016-11-16,100
31399,1237385,40218,SCHOOL CAFETERIA OR FOOD SERVICE,38.1978000,-85.6731000,2016-10-24,100
31399,1264179,40218,SCHOOL CAFETERIA OR FOOD SERVICE,38.1978000,-85.6731000,2017-02-06,100
31400,1179758,40291,SCHOOL CAFETERIA OR FOOD SERVICE,38.1372000,-85.5787000,2016-03-17,100
31400,1245241,40291,SCHOOL CAFETERIA OR FOOD SERVICE,38.1372000,-85.5787000,2016-11-18,100
31401,1178677,40272,SCHOOL CAFETERIA OR FOOD SERVICE,38.1221000,-85.8718000,2016-03-11,98
31401,1237133,40272,SCHOOL CAFETERIA OR FOOD SERVICE,38.1221000,-85.8718000,2016-10-21,100
31402,1235290,40219,SCHOOL CAFETERIA OR FOOD SERVICE,38.1234000,-85.6940000,2016-09-29,98
31402,1262152,40219,SCHOOL CAFETERIA OR FOOD SERVICE,38.1234000,-85.6940000,2017-01-31,99
31403,1227277,40213,SCHOOL CAFETERIA OR FOOD SERVICE,38.1712000,-85.6907000,2016-09-14,100
31403,1265673,40213,SCHOOL CAFETERIA OR FOOD SERVICE,38.1712000,-85.6907000,2017-02-13,100
31404,1224355,40215,SCHOOL CAFETERIA OR FOOD SERVICE,38.1745000,-85.7817000,2016-09-06,100
31404,1263619,40215,SCHOOL CAFETERIA OR FOOD SERVICE,38.1745000,-85.7817000,2017-02-06,100
31407,1228882,40219,FOOD SERVICE (HOSPITAL / NURSING HOME,38.1168000,-85.6642000,2016-09-20,100
31409,1178040,40218,FOOD SERVICE (HOSPITAL / NURSING HOME,38.1892000,-85.6469000,2016-03-09,99
31409,1223475,40218,FOOD SERVICE (HOSPITAL / NURSING HOME,38.1892000,-85.6469000,2016-08-31,98
31409,1265350,40218,FOOD SERVICE (HOSPITAL / NURSING HOME,38.1892000,-85.6469000,2017-02-10,97
31410,1179566,40203,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2191000,-85.7103000,2016-03-16,100
31410,1248364,40203,FOOD SERVICE (HOSPITAL / NURSING HOME,38.2191000,-85.7103000,2016-12-05,100
